,Provider,PotentialFraud,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
2110,PRV53901,No,3.0,14,14,1.0,5400,385.71,0,1,14,13
2111,PRV53905,No,1.44,72,77,1.07,21950,304.86,0,6,77,72
2112,PRV53906,No,0.75,4,4,1.0,480,120.0,0,1,4,4
2113,PRV53907,No,0.89,120,126,1.05,46160,384.67,0,18,126,104
2114,PRV53908,No,4.2,15,15,1.0,8570,571.33,0,2,14,15
2115,PRV53909,No,1.58,154,256,1.66,80190,520.71,1,22,256,190
2116,PRV53910,No,3.17,91,96,1.05,288670,3172.2,0,10,80,83
2117,PRV53912,No,2.08,61,66,1.08,17030,279.18,0,4,66,62
2118,PRV53913,No,1.55,129,131,1.02,36440,282.48,0,17,130,116
2119,PRV53915,No,1.23,434,545,1.26,154110,355.09,0,48,545,292
2120,PRV53916,No,0.94,109,192,1.76,44300,406.42,1,7,192,150
2121,PRV53917,No,1.8,106,200,1.89,130246,1228.74,1,21,195,155
2122,PRV53920,No,1.22,118,221,1.87,99614,844.19,0,17,220,166
2123,PRV53921,No,1.4,498,768,1.54,333382,669.44,4,51,763,322
2124,PRV53922,No,1.75,51,55,1.08,13730,269.22,0,8,55,54
2125,PRV53924,No,2.0,1,1,1.0,0,0.0,0,1,1,1
2126,PRV53925,No,2.54,58,61,1.05,181660,3132.07,0,6,50,57
2127,PRV53926,No,0.74,26,27,1.04,8960,344.62,0,5,27,27
2128,PRV53927,No,1.91,11,11,1.0,3600,327.27,0,1,11,11
2129,PRV53928,No,1.15,41,41,1.0,27044,659.61,0,2,41,40
2130,PRV53931,No,1.13,48,55,1.15,43804,912.58,0,5,53,50
2131,PRV53932,No,2.34,283,304,1.07,950220,3357.67,2,23,261,204
2132,PRV53933,No,1.53,136,265,1.95,82490,606.54,1,26,265,193
2133,PRV53934,No,1.67,97,122,1.26,34030,350.82,0,6,122,107
2134,PRV53935,No,0.08,12,12,1.0,5410,450.83,0,2,12,12
2135,PRV53939,No,1.26,178,304,1.71,201078,1129.65,0,29,301,204
2136,PRV53940,No,1.63,93,97,1.04,22220,238.92,0,9,97,86
2137,PRV53941,No,2.36,72,77,1.07,88638,1231.08,0,7,74,71
2138,PRV53942,No,3.48,24,25,1.04,86304,3596.0,0,2,20,25
2139,PRV53943,No,1.34,103,109,1.06,100584,976.54,0,6,105,88
2140,PRV53944,No,0.79,55,104,1.89,22170,403.09,0,10,104,84
2141,PRV53945,No,1.69,47,49,1.04,15460,328.94,0,3,49,47
2142,PRV53946,No,0.14,21,21,1.0,10170,484.29,0,4,21,20
2143,PRV53947,No,2.0,8,8,1.0,430,53.75,0,0,8,8
2144,PRV53949,No,1.8,5,5,1.0,740,148.0,0,0,5,5
2145,PRV53950,No,2.07,235,298,1.27,82920,352.85,0,23,298,214
2146,PRV53952,No,1.0,13,15,1.15,4580,352.31,0,1,15,15
2147,PRV53956,No,1.74,454,526,1.16,159300,350.88,0,38,526,279
2148,PRV53957,No,1.6,14,15,1.07,6640,474.29,0,2,15,15
2149,PRV53958,No,1.8,340,713,2.1,493366,1451.08,3,70,699,319
2150,PRV53960,No,1.8,115,420,3.65,128390,1116.43,3,37,420,253
2151,PRV53963,No,2.1,37,39,1.05,74952,2025.73,1,2,38,36
2152,PRV53964,No,1.45,81,146,1.8,41050,506.79,0,19,146,124
2153,PRV53965,No,1.39,33,110,3.33,32240,976.97,1,8,110,99
2154,PRV53966,No,0.0,2,2,1.0,500,250.0,0,0,2,2
2155,PRV53967,No,0.0,2,2,1.0,100,50.0,0,0,2,2
2156,PRV53968,No,2.0,30,32,1.07,6750,225.0,0,3,32,32
2157,PRV53969,No,1.19,72,118,1.64,36280,503.89,0,12,118,97
2158,PRV53970,No,3.0,4,4,1.0,68404,17101.0,0,3,2,4
2159,PRV53971,No,0.67,55,102,1.85,23030,418.73,0,9,102,88
2160,PRV53972,No,1.89,61,74,1.21,58498,958.98,1,8,70,67
2161,PRV53973,No,1.72,84,170,2.02,45520,541.9,0,16,170,134
2162,PRV53974,No,1.24,59,67,1.14,13010,220.51,0,3,67,63
2163,PRV53975,No,0.59,42,70,1.67,11810,281.19,0,5,70,67
2164,PRV53977,No,1.92,40,65,1.62,22120,553.0,0,9,65,62
2165,PRV53978,No,0.0,1,1,1.0,100,100.0,0,1,1,1
2166,PRV53979,No,1.01,38,77,2.03,26360,693.68,0,7,77,70
2167,PRV53980,No,1.64,15,22,1.47,3730,248.67,0,1,22,21
2168,PRV53981,No,0.05,22,22,1.0,4810,218.64,0,1,22,20
2169,PRV53982,No,1.22,9,9,1.0,980,108.89,0,0,9,9
2170,PRV53983,No,0.08,23,24,1.04,6420,279.13,0,1,24,24
2171,PRV53986,No,3.38,42,45,1.07,101948,2427.33,0,5,40,45
2172,PRV53988,No,0.66,25,32,1.28,6360,254.4,0,3,32,29
2173,PRV53989,No,1.81,22,27,1.23,23278,1058.09,1,2,26,27
2174,PRV53990,No,1.46,56,99,1.77,68890,1230.18,1,10,95,88
2175,PRV53991,No,0.98,57,62,1.09,14210,249.3,1,2,62,60
2176,PRV53992,No,1.65,101,244,2.42,88100,872.28,1,0,244,179
2177,PRV53993,No,1.73,107,201,1.88,54330,507.76,0,12,201,153
2178,PRV53994,No,1.07,62,174,2.81,46450,749.19,1,21,174,140
2179,PRV53995,No,0.33,3,3,1.0,440,146.67,0,0,3,3
2180,PRV53996,No,2.0,5,5,1.0,13526,2705.2,0,0,4,5
2181,PRV53997,No,2.31,95,172,1.81,70540,742.53,0,11,172,138
2182,PRV53999,No,0.0,1,1,1.0,60,60.0,0,0,1,1
2183,PRV54000,No,0.81,95,206,2.17,42870,451.26,0,9,206,164
2184,PRV54001,No,4.88,8,8,1.0,69544,8693.0,0,1,3,8
2185,PRV54002,No,1.82,11,11,1.0,2060,187.27,0,1,11,11
2186,PRV54004,No,0.88,8,8,1.0,1090,136.25,0,2,8,8
2187,PRV54005,No,2.5,8,8,1.0,1820,227.5,0,1,8,8
2188,PRV54006,No,0.0,1,1,1.0,90,90.0,0,0,1,1
2189,PRV54007,No,2.8,5,5,1.0,1440,288.0,0,1,5,5
2190,PRV54008,No,1.68,41,50,1.22,13120,320.0,0,5,50,47
2191,PRV54009,No,0.0,1,1,1.0,40,40.0,0,0,1,1
2192,PRV54011,No,0.0,2,2,1.0,70,35.0,0,0,2,2
2193,PRV54012,No,0.0,8,8,1.0,3800,475.0,0,1,8,8
2194,PRV54013,No,0.0,1,1,1.0,100,100.0,0,0,1,1
2195,PRV54014,No,0.0,2,2,1.0,410,205.0,0,0,2,2
2196,PRV54016,No,1.75,4,4,1.0,720,180.0,0,0,4,4
2197,PRV54017,No,0.54,13,13,1.0,2610,200.77,0,0,13,12
2198,PRV54019,No,0.0,4,4,1.0,900,225.0,0,0,4,4
2199,PRV54020,No,5.29,6,7,1.17,2090,348.33,0,0,7,7
2200,PRV54021,No,0.0,19,20,1.05,2170,114.21,0,2,20,20
2201,PRV54023,No,0.0,14,18,1.29,2060,147.14,0,0,18,18
2202,PRV54024,No,3.45,32,38,1.19,17910,559.69,0,2,38,37
2203,PRV54025,No,2.0,18,20,1.11,9080,504.44,0,1,20,20
2204,PRV54026,No,0.0,3,3,1.0,2470,823.33,0,0,3,3
2205,PRV54027,No,1.0,8,14,1.75,1390,173.75,1,0,14,14
2206,PRV54028,No,0.0,6,6,1.0,720,120.0,0,1,6,6
2207,PRV54029,No,0.0,2,2,1.0,320,160.0,0,0,2,2
2208,PRV54030,No,2.0,14,14,1.0,2820,201.43,0,1,14,14
2209,PRV54031,No,0.2,5,5,1.0,2370,474.0,0,0,5,5
2210,PRV54033,No,0.0,1,1,1.0,30,30.0,0,0,1,1
2211,PRV54034,No,0.0,1,1,1.0,170,170.0,0,0,1,1
2212,PRV54036,No,1.06,97,100,1.03,26230,270.41,1,11,100,88
2213,PRV54037,No,1.53,16,17,1.06,10510,656.88,1,0,17,17
2214,PRV54038,No,2.42,15,19,1.27,5920,394.67,0,4,19,19
2215,PRV54039,No,0.14,18,28,1.56,4820,267.78,0,1,28,28
2216,PRV54040,No,0.0,2,2,1.0,250,125.0,0,0,2,2
2217,PRV54041,No,2.42,32,65,2.03,35530,1110.31,0,5,65,61
2218,PRV54043,No,12.67,3,3,1.0,5540,1846.67,0,0,3,3
2219,PRV54044,No,0.0,6,6,1.0,820,136.67,0,0,6,5
2220,PRV54045,No,6.33,2,3,1.5,240,120.0,0,1,3,3
2221,PRV54046,No,20.0,1,1,1.0,0,0.0,0,0,1,1
2222,PRV54048,No,0.0,4,4,1.0,830,207.5,0,2,4,4
2223,PRV54049,No,1.18,37,132,3.57,34930,944.05,0,12,132,112
2224,PRV54050,No,2.0,1,1,1.0,500,500.0,0,0,1,1
2225,PRV54051,No,4.2,5,5,1.0,43340,8668.0,0,0,2,5
2226,PRV54052,No,8.33,6,6,1.0,81408,13568.0,0,1,2,6
2227,PRV54053,No,0.0,1,1,1.0,10,10.0,0,1,1,1
2228,PRV54054,No,5.0,1,1,1.0,6068,6068.0,0,0,1,1
2229,PRV54055,No,3.6,25,25,1.0,216632,8665.28,0,4,13,24
2230,PRV54057,No,0.0,1,1,1.0,0,0.0,0,1,1,1
2231,PRV54058,No,6.57,34,35,1.03,321380,9452.35,0,0,22,32
2232,PRV54059,No,5.5,18,18,1.0,191224,10623.56,0,3,9,18
2233,PRV54060,No,5.88,16,16,1.0,181088,11318.0,0,3,6,16
2234,PRV54061,No,4.55,10,11,1.1,34752,3475.2,0,2,9,11
2235,PRV54062,No,2.0,10,11,1.1,19916,1991.6,0,0,11,11
2236,PRV54063,No,1.12,13,17,1.31,9738,749.08,0,1,17,15
2237,PRV54064,No,3.38,72,122,1.69,240098,3334.69,0,7,112,99
2238,PRV54066,No,1.78,110,148,1.35,42430,385.73,2,15,148,126
2239,PRV54068,No,0.0,7,7,1.0,570,81.43,0,0,7,7
2240,PRV54071,No,2.42,325,436,1.34,238504,733.86,2,41,432,266
2241,PRV54072,No,2.9,26,30,1.15,112048,4309.54,0,4,26,30
2242,PRV54073,No,1.52,28,44,1.57,124006,4428.79,0,3,40,43
2243,PRV54076,No,1.87,50,52,1.04,101722,2034.44,0,6,46,50
2244,PRV54078,No,3.05,109,119,1.09,225202,2066.07,1,15,109,104
2245,PRV54080,No,1.53,261,573,2.2,177620,680.54,2,44,572,294
2246,PRV54081,No,3.93,13,14,1.08,146948,11303.69,0,1,7,14
2247,PRV54082,No,2.64,11,11,1.0,40790,3708.18,0,0,7,11
2248,PRV54083,No,1.61,173,279,1.61,143144,827.42,0,23,275,202
2249,PRV54084,No,1.78,43,49,1.14,90974,2115.67,0,2,44,45
2250,PRV54085,No,2.33,197,234,1.19,664614,3373.68,0,28,198,173
2251,PRV54086,No,1.41,60,66,1.1,12830,213.83,0,9,66,63
2252,PRV54089,No,2.8,41,41,1.0,98986,2414.29,0,4,36,40
2253,PRV54090,No,2.25,123,190,1.54,355516,2890.37,2,20,172,158
2254,PRV54091,No,1.47,76,112,1.47,22950,301.97,1,11,112,100
2255,PRV54092,No,1.35,401,481,1.2,143310,357.38,1,35,481,263
2256,PRV54096,No,0.0,7,7,1.0,920,131.43,0,0,7,7
2257,PRV54099,No,1.34,97,217,2.24,203442,2097.34,0,14,213,156
2258,PRV54101,No,2.55,28,29,1.04,77538,2769.21,0,3,23,29
2259,PRV54102,No,2.35,18,23,1.28,63314,3517.44,0,3,18,23
2260,PRV54106,No,2.38,37,39,1.05,75390,2037.57,0,2,35,38
2261,PRV54107,No,1.16,129,147,1.14,44300,343.41,0,16,147,119
2262,PRV54109,No,4.12,14,16,1.14,4980,355.71,0,2,16,16
2263,PRV54110,No,2.86,7,7,1.0,470,67.14,0,0,7,7
2264,PRV54112,No,1.55,18,31,1.72,6630,368.33,0,2,31,29
2265,PRV54113,No,0.0,1,1,1.0,60,60.0,0,0,1,1
2266,PRV54114,No,3.55,9,11,1.22,26134,2903.78,0,0,8,11
2267,PRV54115,No,0.0,4,4,1.0,170,42.5,0,1,4,4
2268,PRV54116,No,1.25,4,16,4.0,1290,322.5,0,1,16,16
2269,PRV54117,No,0.0,6,6,1.0,320,53.33,0,0,6,6
2270,PRV54118,No,2.5,8,8,1.0,570,71.25,0,0,8,8
2271,PRV54119,No,0.0,12,14,1.17,2040,170.0,0,0,14,14
2272,PRV54120,No,0.0,2,2,1.0,1000,500.0,0,0,2,2
2273,PRV54121,No,1.5,19,48,2.53,15510,816.32,0,3,48,45
2274,PRV54122,No,0.0,4,4,1.0,510,127.5,0,0,4,4
2275,PRV54123,No,0.0,2,2,1.0,170,85.0,0,0,2,2
2276,PRV54124,No,0.0,5,5,1.0,700,140.0,0,0,5,5
2277,PRV54125,No,2.91,10,11,1.1,7180,718.0,0,0,11,11
2278,PRV54127,No,2.57,25,28,1.12,9100,364.0,0,2,28,27
2279,PRV54128,No,1.81,9,27,3.0,10440,1160.0,0,3,27,25
2280,PRV54129,No,0.0,5,5,1.0,3120,624.0,0,0,5,5
2281,PRV54130,No,1.36,36,64,1.78,9430,261.94,0,7,64,57
2282,PRV54131,No,0.29,12,24,2.0,4020,335.0,0,2,24,23
2283,PRV54132,No,0.0,5,5,1.0,530,106.0,0,0,5,4
2284,PRV54133,No,0.08,24,25,1.04,3560,148.33,0,1,25,24
2285,PRV54134,No,0.34,36,44,1.22,29456,818.22,0,5,43,42
2286,PRV54135,No,7.0,2,3,1.5,260,130.0,0,0,3,3
2287,PRV54136,No,1.37,16,30,1.88,7690,480.62,0,1,30,28
2288,PRV54139,No,1.08,52,99,1.9,67000,1288.46,0,6,96,84
2289,PRV54140,No,0.0,6,6,1.0,230,38.33,0,0,6,6
2290,PRV54141,No,1.39,11,31,2.82,9110,828.18,0,5,31,30
2291,PRV54142,No,1.93,7,28,4.0,10040,1434.29,0,1,28,28
2292,PRV54145,No,3.5,5,6,1.2,6340,1268.0,0,0,6,6
2293,PRV54146,No,0.0,3,5,1.67,240,80.0,0,1,5,5
2294,PRV54148,No,0.0,1,1,1.0,90,90.0,0,0,1,1
2295,PRV54150,No,0.8,24,25,1.04,11190,466.25,0,2,25,23
2296,PRV54153,No,2.64,11,14,1.27,44614,4055.82,0,0,12,14
2297,PRV54154,No,1.75,11,12,1.09,1640,149.09,0,3,12,12
2298,PRV54155,No,1.69,29,51,1.76,25728,887.17,0,2,50,45
2299,PRV54156,No,1.05,46,121,2.63,30710,667.61,0,7,121,100
2300,PRV54157,No,1.18,51,130,2.55,28160,552.16,0,14,130,109
2301,PRV54158,No,0.67,9,9,1.0,2360,262.22,0,1,9,9
2302,PRV54159,No,2.35,22,34,1.55,14500,659.09,0,1,34,31
2303,PRV54160,No,4.44,9,9,1.0,4370,485.56,0,1,9,9
2304,PRV54162,No,0.69,18,32,1.78,8200,455.56,0,1,32,31
2305,PRV54163,No,0.1,24,41,1.71,8950,372.92,0,5,41,37
2306,PRV54164,No,2.5,2,2,1.0,5168,2584.0,1,0,2,2
2307,PRV54166,No,0.9,17,20,1.18,6500,382.35,0,3,20,20
2308,PRV54167,No,0.0,8,9,1.12,1940,242.5,0,3,9,9
2309,PRV54168,No,1.91,39,67,1.72,35768,917.13,0,7,67,61
2310,PRV54171,No,0.97,27,72,2.67,21070,780.37,0,12,72,61
2311,PRV54172,No,0.0,2,2,1.0,140,70.0,0,1,2,2
2312,PRV54173,No,0.0,7,7,1.0,640,91.43,0,1,7,7
2313,PRV54175,No,0.0,1,1,1.0,80,80.0,0,0,1,1
2314,PRV54176,No,0.0,10,10,1.0,1670,167.0,0,0,10,10
2315,PRV54177,No,0.0,2,2,1.0,1100,550.0,0,0,2,2
2316,PRV54178,No,0.0,2,2,1.0,90,45.0,0,0,2,2
2317,PRV54179,No,0.0,1,1,1.0,0,0.0,0,0,1,1
2318,PRV54180,No,0.0,2,2,1.0,150,75.0,0,0,2,2
2319,PRV54181,No,0.25,4,4,1.0,190,47.5,0,1,4,4
2320,PRV54182,No,5.25,4,4,1.0,1750,437.5,0,0,4,4
2321,PRV54183,No,0.0,2,2,1.0,4400,2200.0,0,1,2,2
2322,PRV54184,No,4.0,8,10,1.25,3560,445.0,0,1,10,10
2323,PRV54185,No,10.5,2,2,1.0,350,175.0,0,0,2,2
2324,PRV54186,No,0.0,7,11,1.57,1730,247.14,0,0,11,11
2325,PRV54187,No,0.0,1,1,1.0,200,200.0,0,0,1,1
2326,PRV54188,No,5.0,4,4,1.0,3060,765.0,0,1,4,4
2327,PRV54191,No,0.0,2,2,1.0,360,180.0,0,0,2,2
2328,PRV54192,No,0.0,2,2,1.0,890,445.0,0,0,2,2
2329,PRV54193,No,0.21,12,24,2.0,4030,335.83,0,1,24,24
2330,PRV54194,No,0.14,7,7,1.0,3630,518.57,0,0,7,7
2331,PRV54196,No,2.1,10,10,1.0,4320,432.0,0,2,10,10
2332,PRV54197,No,0.0,12,14,1.17,850,70.83,0,1,14,14
2333,PRV54198,No,3.33,6,6,1.0,490,81.67,0,0,6,6
2334,PRV54199,No,0.0,1,1,1.0,40,40.0,0,0,1,1
2335,PRV54200,No,4.77,13,13,1.0,186974,14382.62,0,1,6,13
2336,PRV54201,No,5.25,4,4,1.0,23872,5968.0,0,0,4,4
2337,PRV54202,No,5.3,10,10,1.0,99612,9961.2,0,1,2,10
2338,PRV54203,No,1.35,45,51,1.13,13090,290.89,0,6,51,45
2339,PRV54204,No,9.0,4,4,1.0,66472,16618.0,0,0,2,4
2340,PRV54205,No,4.67,8,9,1.12,74612,9326.5,0,1,4,9
2341,PRV54206,No,1.75,41,44,1.07,22518,549.22,0,3,43,41
2342,PRV54207,No,0.76,32,41,1.28,7050,220.31,0,5,41,39
2343,PRV54208,No,3.56,24,27,1.12,124840,5201.67,0,1,23,26
2344,PRV54210,No,2.25,18,20,1.11,4710,261.67,0,0,20,18
2345,PRV54212,No,1.09,32,54,1.69,11920,372.5,0,1,54,49
2346,PRV54213,No,2.33,61,67,1.1,191838,3144.89,0,11,56,60
2347,PRV54215,No,3.71,26,31,1.19,150246,5778.69,0,2,24,31
2348,PRV54216,No,1.88,43,49,1.14,174020,4046.98,1,3,40,46
2349,PRV54217,No,1.0,14,30,2.14,5360,382.86,0,2,30,27
2350,PRV54219,No,1.39,33,101,3.06,18820,570.3,0,9,100,84
2351,PRV54220,No,3.69,29,32,1.1,162616,5607.45,0,5,26,32
2352,PRV54222,No,0.37,11,19,1.73,3130,284.55,0,3,19,19
2353,PRV54223,No,1.15,25,74,2.96,16640,665.6,0,3,74,68
2354,PRV54224,No,0.86,23,43,1.87,15490,673.48,0,4,43,41
2355,PRV54226,No,1.08,11,13,1.18,760,69.09,0,4,13,13
2356,PRV54227,No,1.83,47,53,1.13,7660,162.98,0,2,53,51
2357,PRV54228,No,1.99,198,352,1.78,445180,2248.38,1,22,334,221
2358,PRV54231,No,2.39,64,190,2.97,68210,1065.78,0,21,190,150
2359,PRV54232,No,2.43,34,42,1.24,116294,3420.41,0,7,39,41
2360,PRV54233,No,0.29,7,7,1.0,7418,1059.71,0,2,7,7
2361,PRV54235,No,1.06,13,16,1.23,4280,329.23,0,2,16,16
2362,PRV54237,No,0.91,119,234,1.97,53480,449.41,0,22,234,172
2363,PRV54238,No,1.24,153,348,2.27,93790,613.01,0,29,348,222
2364,PRV54239,No,1.48,44,62,1.41,21160,480.91,0,3,62,60
2365,PRV54240,No,0.58,37,72,1.95,14690,397.03,0,5,72,67
2366,PRV54242,No,0.76,74,88,1.19,57662,779.22,0,7,84,81
2367,PRV54244,No,2.44,189,231,1.22,590946,3126.7,0,15,201,170
2368,PRV54245,No,1.51,104,173,1.66,173192,1665.31,0,14,168,137
2369,PRV54246,No,1.86,27,43,1.59,10020,371.11,0,1,43,40
2370,PRV54247,No,1.43,48,70,1.46,51442,1071.71,0,2,69,60
2371,PRV54250,No,0.65,61,62,1.02,22750,372.95,0,3,62,55
2372,PRV54251,No,3.72,32,47,1.47,84098,2628.06,0,6,43,46
2373,PRV54252,No,1.53,16,17,1.06,6030,376.88,0,1,17,17
2374,PRV54253,No,3.57,13,14,1.08,87122,6701.69,0,1,12,13
2375,PRV54254,No,1.52,44,104,2.36,23430,532.5,0,6,104,87
2376,PRV54255,No,1.51,154,232,1.51,107390,697.34,2,21,232,169
2377,PRV54256,No,1.41,100,262,2.62,123010,1230.1,3,24,259,190
2378,PRV54257,No,1.78,134,282,2.1,70160,523.58,1,22,282,201
2379,PRV54259,No,2.97,26,29,1.12,102716,3950.62,0,1,23,26
2380,PRV54261,No,2.4,66,75,1.14,25870,391.97,0,5,74,69
2381,PRV54262,No,4.0,1,1,1.0,4068,4068.0,0,0,1,1
2382,PRV54263,No,0.17,6,6,1.0,6028,1004.67,0,0,6,6
2383,PRV54265,No,1.26,197,406,2.06,114290,580.15,0,30,406,242
2384,PRV54266,No,2.38,59,65,1.1,310630,5264.92,1,4,50,57
2385,PRV54267,No,1.07,84,226,2.69,79510,946.55,0,17,226,167
2386,PRV54269,No,0.88,26,118,4.54,33030,1270.38,0,4,118,101
2387,PRV54270,No,1.18,27,34,1.26,11470,424.81,0,1,34,32
2388,PRV54271,No,1.41,12,29,2.42,6370,530.83,0,4,29,28
2389,PRV54273,No,1.57,108,234,2.17,72950,675.46,0,25,234,179
2390,PRV54274,No,2.04,17,47,2.76,16780,987.06,0,4,47,47
2391,PRV54275,No,4.0,1,1,1.0,50,50.0,0,0,1,1
2392,PRV54276,No,1.09,35,77,2.2,105402,3011.49,1,5,73,70
2393,PRV54278,No,2.31,27,61,2.26,19830,734.44,0,7,61,51
2394,PRV54280,No,0.5,15,20,1.33,7030,468.67,0,0,20,18
2395,PRV54282,No,1.11,11,19,1.73,6610,600.91,0,1,19,18
2396,PRV54283,No,0.0,5,5,1.0,550,110.0,0,1,5,5
2397,PRV54284,No,2.1,43,113,2.63,104874,2438.93,1,7,107,106
2398,PRV54285,No,1.55,16,20,1.25,2750,171.88,0,2,20,19
2399,PRV54287,No,0.99,67,155,2.31,38620,576.42,0,11,155,127
2400,PRV54288,No,1.13,13,15,1.15,4100,315.38,0,0,15,15
2401,PRV54289,No,1.91,28,56,2.0,17890,638.93,0,6,56,54
2402,PRV54290,No,0.0,6,6,1.0,3300,550.0,0,2,6,6
2403,PRV54291,No,0.0,9,10,1.11,1770,196.67,0,1,10,10
2404,PRV54293,No,0.0,2,2,1.0,2520,1260.0,0,0,2,2
2405,PRV54294,No,0.0,1,1,1.0,60,60.0,0,0,1,1
2406,PRV54295,No,7.0,1,1,1.0,3300,3300.0,0,0,1,1
2407,PRV54296,No,0.94,18,54,3.0,10660,592.22,1,1,54,52
2408,PRV54298,No,5.33,3,3,1.0,41204,13734.67,0,0,0,3
2409,PRV54299,No,5.4,5,5,1.0,1800,360.0,0,0,5,5
2410,PRV54300,No,2.0,6,6,1.0,1770,295.0,0,0,6,6
2411,PRV54301,No,2.69,11,13,1.18,3690,335.45,0,2,13,13
2412,PRV54302,No,0.0,1,1,1.0,3300,3300.0,0,0,1,1
2413,PRV54303,No,2.56,14,16,1.14,5160,368.57,0,2,16,16
2414,PRV54304,No,0.0,1,1,1.0,50,50.0,0,0,1,1
2415,PRV54305,No,1.67,5,6,1.2,2670,534.0,0,0,6,6
2416,PRV54306,No,4.76,28,33,1.18,13700,489.29,0,0,33,31
2417,PRV54307,No,0.0,2,2,1.0,400,200.0,0,0,2,2
2418,PRV54308,No,0.0,1,1,1.0,70,70.0,0,0,1,1
2419,PRV54309,No,2.41,18,29,1.61,6380,354.44,0,3,29,28
2420,PRV54310,No,5.29,3,7,2.33,300,100.0,0,1,7,7
2421,PRV54311,No,6.67,3,3,1.0,100,33.33,0,2,3,3
2422,PRV54312,No,0.0,4,4,1.0,380,95.0,0,0,4,4
2423,PRV54313,No,3.88,16,16,1.0,7150,446.88,0,1,16,16
2424,PRV54315,No,2.36,41,103,2.51,38020,927.32,0,9,103,92
2425,PRV54316,No,0.0,1,2,2.0,250,250.0,0,0,2,2
2426,PRV54317,No,0.88,22,25,1.14,3690,167.73,0,0,25,25
2427,PRV54319,No,0.0,1,1,1.0,100,100.0,0,1,1,1
2428,PRV54320,No,1.73,44,102,2.32,21940,498.64,0,0,102,87
2429,PRV54324,No,5.81,28,32,1.14,300176,10720.57,0,5,13,31
2430,PRV54325,No,4.53,15,15,1.0,158020,10534.67,0,0,5,15
2431,PRV54326,No,5.2,4,5,1.25,25340,6335.0,1,1,3,5
2432,PRV54328,No,2.54,99,117,1.18,203238,2052.91,0,13,104,104
2433,PRV54330,No,1.38,372,472,1.27,292286,785.72,0,32,461,270
2434,PRV54332,No,1.38,531,995,1.87,335530,631.88,1,70,995,338
2435,PRV54334,No,0.94,49,105,2.14,22860,466.53,0,7,105,91
2436,PRV54335,No,1.16,187,219,1.17,266392,1424.56,0,15,209,162
2437,PRV54337,No,3.4,132,149,1.13,698156,5289.06,1,11,118,122
2438,PRV54339,No,1.98,68,123,1.81,155808,2291.29,0,8,117,104
2439,PRV54340,No,1.7,54,96,1.78,73734,1365.44,0,6,94,82
2440,PRV54341,No,1.53,34,55,1.62,25188,740.82,1,4,55,51
2441,PRV54342,No,0.86,34,35,1.03,51936,1527.53,0,4,33,35
2442,PRV54343,No,0.29,16,17,1.06,3210,200.62,0,4,17,16
2443,PRV54344,No,1.67,42,51,1.21,17370,413.57,0,3,51,47
2444,PRV54345,No,1.37,139,167,1.2,47780,343.74,0,15,167,134
2445,PRV54347,No,0.69,25,26,1.04,6530,261.2,0,0,26,26
2446,PRV54348,No,3.41,203,217,1.07,1020272,5025.97,0,5,160,168
2447,PRV54349,No,0.71,27,77,2.85,18400,681.48,0,10,77,70
2448,PRV54352,No,0.0,7,12,1.71,1670,238.57,0,0,12,12
2449,PRV54353,No,1.12,31,32,1.03,6870,221.61,0,5,32,31
2450,PRV54355,No,1.25,10,16,1.6,16376,1637.6,0,0,16,16
2451,PRV54356,No,3.55,24,31,1.29,198322,8263.42,0,6,21,30
2452,PRV54357,No,0.3,9,10,1.11,2190,243.33,0,2,10,10
2453,PRV54358,No,1.81,30,43,1.43,13180,439.33,1,1,43,41
2454,PRV54360,No,1.62,32,37,1.16,9300,290.62,0,3,37,37
2455,PRV54362,No,0.24,38,50,1.32,14920,392.63,0,6,50,49
2456,PRV54363,No,2.28,47,64,1.36,149786,3186.94,0,3,57,57
2457,PRV54365,No,1.21,61,115,1.89,31570,517.54,0,6,115,98
2458,PRV54368,No,1.31,98,110,1.12,49952,509.71,0,8,110,94
2459,PRV54370,No,0.48,113,181,1.6,42760,378.41,1,12,181,137
2460,PRV54371,No,2.29,30,31,1.03,8330,277.67,0,3,31,30
2461,PRV54373,No,0.38,8,8,1.0,6898,862.25,0,0,7,8
2462,PRV54374,No,1.5,455,854,1.88,282290,620.42,2,54,853,334
2463,PRV54375,No,3.79,48,56,1.17,146020,3042.08,0,5,47,50
2464,PRV54377,No,2.7,19,20,1.05,35336,1859.79,0,1,18,20
2465,PRV54378,No,2.71,58,79,1.36,220134,3795.41,0,4,70,74
2466,PRV54379,No,2.96,96,116,1.21,266688,2778.0,0,12,101,105
2467,PRV54380,No,1.67,11,12,1.09,19076,1734.18,0,0,11,12
2468,PRV54381,No,1.09,124,129,1.04,177554,1431.89,1,13,123,107
2469,PRV54383,No,0.69,22,29,1.32,5470,248.64,0,2,29,29
2470,PRV54384,No,1.07,27,28,1.04,46416,1719.11,0,2,27,27
2471,PRV54387,No,2.12,235,415,1.77,115000,489.36,0,32,414,242
2472,PRV54389,No,1.59,44,56,1.27,25690,583.86,0,5,56,50
2473,PRV54390,No,4.06,86,95,1.1,393414,4574.58,0,14,72,80
2474,PRV54392,No,0.29,33,35,1.06,4880,147.88,0,2,35,34
